"subject" "activity" "variable" "mean"
"38" 1 "walking" "tBodyGyroMagStd" 38
"39" 1 "walking" "tBodyGyroJerkMagMean" 39
"40" 1 "walking" "tBodyGyroJerkMagStd" 40
"41" 1 "walking" "fBodyAccMeanX" 41
"42" 1 "walking" "fBodyAccMeanY" 42
"43" 1 "walking" "fBodyAccMeanZ" 43
"44" 1 "walking" "fBodyAccStdX" 44
"45" 1 "walking" "fBodyAccStdY" 45
"46" 1 "walking" "fBodyAccStdZ" 46
"47" 1 "walking" "fBodyAccJerkMeanX" 47
"48" 1 "walking" "fBodyAccJerkMeanY" 48
"49" 1 "walking" "fBodyAccJerkMeanZ" 49
"50" 1 "walking" "fBodyAccJerkStdX" 50
"51" 1 "walking" "fBodyAccJerkStdY" 51
"52" 1 "walking" "fBodyAccJerkStdZ" 52
"53" 1 "walking" "fBodyGyroMeanX" 53
"54" 1 "walking" "fBodyGyroMeanY" 54
"55" 1 "walking" "fBodyGyroMeanZ" 55
"56" 1 "walking" "fBodyGyroStdX" 56
"57" 1 "walking" "fBodyGyroStdY" 57
"58" 1 "walking" "fBodyGyroStdZ" 58
"59" 1 "walking" "fBodyAccMagMean" 59
"60" 1 "walking" "fBodyAccMagStd" 60
"61" 1 "walkingUpstairs" "tBodyAccMeanX" 1
"62" 1 "walkingUpstairs" "tBodyAccMeanY" 2
"63" 1 "walkingUpstairs" "tBodyAccMeanZ" 3
"64" 1 "walkingUpstairs" "tBodyAccStdX" 4
"65" 1 "walkingUpstairs" "tBodyAccStdY" 5
"66" 1 "walkingUpstairs" "tBodyAccStdZ" 6
"67" 1 "walkingUpstairs" "tGravityAccMeanX" 7
"68" 1 "walkingUpstairs" "tGravityAccMeanY" 8
"69" 1 "walkingUpstairs" "tGravityAccMeanZ" 9
"70" 1 "walkingUpstairs" "tGravityAccStdX" 10
"71" 1 "walkingUpstairs" "tGravityAccStdY" 11
"72" 1 "walkingUpstairs" "tGravityAccStdZ" 12
"73" 1 "walkingUpstairs" "tBodyAccJerkMeanX" 13
"74" 1 "walkingUpstairs" "tBodyAccJerkMeanY" 14
"75" 1 "walkingUpstairs" "tBodyAccJerkMeanZ" 15
"76" 1 "walkingUpstairs" "tBodyAccJerkStdX" 16
"77" 1 "walkingUpstairs" "tBodyAccJerkStdY" 17
"78" 1 "walkingUpstairs" "tBodyAccJerkStdZ" 18
"79" 1 "walkingUpstairs" "tBodyGyroMeanX" 19
"80" 1 "walkingUpstairs" "tBodyGyroMeanY" 20
"81" 1 "walkingUpstairs" "tBodyGyroMeanZ" 21
"82" 1 "walkingUpstairs" "tBodyGyroStdX" 22
"83" 1 "walkingUpstairs" "tBodyGyroStdY" 23
"84" 1 "walkingUpstairs" "tBodyGyroStdZ" 24
"85" 1 "walkingUpstairs" "tBodyGyroJerkMeanX" 25
"86" 1 "walkingUpstairs" "tBodyGyroJerkMeanY" 26
"87" 1 "walkingUpstairs" "tBodyGyroJerkMeanZ" 27
"88" 1 "walkingUpstairs" "tBodyGyroJerkStdX" 28
"89" 1 "walkingUpstairs" "tBodyGyroJerkStdY" 29
"90" 1 "walkingUpstairs" "tBodyGyroJerkStdZ" 30
"91" 1 "walkingUpstairs" "tBodyAccMagMean" 31
"92" 1 "walkingUpstairs" "tBodyAccMagStd" 32
"93" 1 "walkingUpstairs" "tGravityAccMagMean" 33
"94" 1 "walkingUpstairs" "tGravityAccMagStd" 34
"95" 1 "walkingUpstairs" "tBodyAccJerkMagMean" 35
"96" 1 "walkingUpstairs" "tBodyAccJerkMagStd" 36
"97" 1 "walkingUpstairs" "tBodyGyroMagMean" 37
"98" 1 "walkingUpstairs" "tBodyGyroMagStd" 38
"99" 1 "walkingUpstairs" "tBodyGyroJerkMagMean" 39
"100" 1 "walkingUpstairs" "tBodyGyroJerkMagStd" 40
"101" 1 "walkingUpstairs" "fBodyAccMeanX" 41
"102" 1 "walkingUpstairs" "fBodyAccMeanY" 42
"103" 1 "walkingUpstairs" "fBodyAccMeanZ" 43
"104" 1 "walkingUpstairs" "fBodyAccStdX" 44
"105" 1 "walkingUpstairs" "fBodyAccStdY" 45
"106" 1 "walkingUpstairs" "fBodyAccStdZ" 46
"107" 1 "walkingUpstairs" "fBodyAccJerkMeanX" 47
"108" 1 "walkingUpstairs" "fBodyAccJerkMeanY" 48
"109" 1 "walkingUpstairs" "fBodyAccJerkMeanZ" 49
"110" 1 "walkingUpstairs" "fBodyAccJerkStdX" 50
"111" 1 "walkingUpstairs" "fBodyAccJerkStdY" 51
"112" 1 "walkingUpstairs" "fBodyAccJerkStdZ" 52
"113" 1 "walkingUpstairs" "fBodyGyroMeanX" 53
"114" 1 "walkingUpstairs" "fBodyGyroMeanY" 54
"115" 1 "walkingUpstairs" "fBodyGyroMeanZ" 55
"116" 1 "walkingUpstairs" "fBodyGyroStdX" 56
"117" 1 "walkingUpstairs" "fBodyGyroStdY" 57
"118" 1 "walkingUpstairs" "fBodyGyroStdZ" 58
"119" 1 "walkingUpstairs" "fBodyAccMagMean" 59
"120" 1 "walkingUpstairs" "fBodyAccMagStd" 60
"121" 1 "walkingDownstairs" "tBodyAccMeanX" 1
"122" 1 "walkingDownstairs" "tBodyAccMeanY" 2
"123" 1 "walkingDownstairs" "tBodyAccMeanZ" 3
"124" 1 "walkingDownstairs" "tBodyAccStdX" 4
"125" 1 "walkingDownstairs" "tBodyAccStdY" 5
"126" 1 "walkingDownstairs" "tBodyAccStdZ" 6
"127" 1 "walkingDownstairs" "tGravityAccMeanX" 7
"128" 1 "walkingDownstairs" "tGravityAccMeanY" 8
"129" 1 "walkingDownstairs" "tGravityAccMeanZ" 9
"130" 1 "walkingDownstairs" "tGravityAccStdX" 10
"131" 1 "walkingDownstairs" "tGravityAccStdY" 11
"132" 1 "walkingDownstairs" "tGravityAccStdZ" 12
"133" 1 "walkingDownstairs" "tBodyAccJerkMeanX" 13
"134" 1 "walkingDownstairs" "tBodyAccJerkMeanY" 14
"135" 1 "walkingDownstairs" "tBodyAccJerkMeanZ" 15
"136" 1 "walkingDownstairs" "tBodyAccJerkStdX" 16
"137" 1 "walkingDownstairs" "tBodyAccJerkStdY" 17
"138" 1 "walkingDownstairs" "tBodyAccJerkStdZ" 18
"139" 1 "walkingDownstairs" "tBodyGyroMeanX" 19
"140" 1 "walkingDownstairs" "tBodyGyroMeanY" 20
"141" 1 "walkingDownstairs" "tBodyGyroMeanZ" 21
"142" 1 "walkingDownstairs" "tBodyGyroStdX" 22
"143" 1 "walkingDownstairs" "tBodyGyroStdY" 23
"144" 1 "walkingDownstairs" "tBodyGyroStdZ" 24
"145" 1 "walkingDownstairs" "tBodyGyroJerkMeanX" 25
"146" 1 "walkingDownstairs" "tBodyGyroJerkMeanY" 26
"147" 1 "walkingDownstairs" "tBodyGyroJerkMeanZ" 27
"148" 1 "walkingDownstairs" "tBodyGyroJerkStdX" 28
"149" 1 "walkingDownstairs" "tBodyGyroJerkStdY" 29
"150" 1 "walkingDownstairs" "tBodyGyroJerkStdZ" 30
"151" 1 "walkingDownstairs" "tBodyAccMagMean" 31
"152" 1 "walkingDownstairs" "tBodyAccMagStd" 32
"153" 1 "walkingDownstairs" "tGravityAccMagMean" 33
"154" 1 "walkingDownstairs" "tGravityAccMagStd" 34
"155" 1 "walkingDownstairs" "tBodyAccJerkMagMean" 35
"156" 1 "walkingDownstairs" "tBodyAccJerkMagStd" 36
"157" 1 "walkingDownstairs" "tBodyGyroMagMean" 37
"158" 1 "walkingDownstairs" "tBodyGyroMagStd" 38
"159" 1 "walkingDownstairs" "tBodyGyroJerkMagMean" 39
"160" 1 "walkingDownstairs" "tBodyGyroJerkMagStd" 40
"161" 1 "walkingDownstairs" "fBodyAccMeanX" 41
"162" 1 "walkingDownstairs" "fBodyAccMeanY" 42
"163" 1 "walkingDownstairs" "fBodyAccMeanZ" 43
"164" 1 "walkingDownstairs" "fBodyAccStdX" 44
"165" 1 "walkingDownstairs" "fBodyAccStdY" 45
"166" 1 "walkingDownstairs" "fBodyAccStdZ" 46
"167" 1 "walkingDownstairs" "fBodyAccJerkMeanX" 47
"168" 1 "walkingDownstairs" "fBodyAccJerkMeanY" 48
"169" 1 "walkingDownstairs" "fBodyAccJerkMeanZ" 49
"170" 1 "walkingDownstairs" "fBodyAccJerkStdX" 50
"171" 1 "walkingDownstairs" "fBodyAccJerkStdY" 51
"172" 1 "walkingDownstairs" "fBodyAccJerkStdZ" 52
"173" 1 "walkingDownstairs" "fBodyGyroMeanX" 53
"174" 1 "walkingDownstairs" "fBodyGyroMeanY" 54
"175" 1 "walkingDownstairs" "fBodyGyroMeanZ" 55
"176" 1 "walkingDownstairs" "fBodyGyroStdX" 56
"177" 1 "walkingDownstairs" "fBodyGyroStdY" 57
"178" 1 "walkingDownstairs" "fBodyGyroStdZ" 58
"179" 1 "walkingDownstairs" "fBodyAccMagMean" 59
"180" 1 "walkingDownstairs" "fBodyAccMagStd" 60
"181" 1 "sitting" "tBodyAccMeanX" 1
"182" 1 "sitting" "tBodyAccMeanY" 2
"183" 1 "sitting" "tBodyAccMeanZ" 3
"184" 1 "sitting" "tBodyAccStdX" 4
"185" 1 "sitting" "tBodyAccStdY" 5
"186" 1 "sitting" "tBodyAccStdZ" 6
"187" 1 "sitting" "tGravityAccMeanX" 7
"188" 1 "sitting" "tGravityAccMeanY" 8
"189" 1 "sitting" "tGravityAccMeanZ" 9
"190" 1 "sitting" "tGravityAccStdX" 10
"191" 1 "sitting" "tGravityAccStdY" 11
"192" 1 "sitting" "tGravityAccStdZ" 12
"193" 1 "sitting" "tBodyAccJerkMeanX" 13
"194" 1 "sitting" "tBodyAccJerkMeanY" 14
"195" 1 "sitting" "tBodyAccJerkMeanZ" 15
"196" 1 "sitting" "tBodyAccJerkStdX" 16
"197" 1 "sitting" "tBodyAccJerkStdY" 17
"198" 1 "sitting" "tBodyAccJerkStdZ" 18
"199" 1 "sitting" "tBodyGyroMeanX" 19
"200" 1 "sitting" "tBodyGyroMeanY" 20
"201" 1 "sitting" "tBodyGyroMeanZ" 21
"202" 1 "sitting" "tBodyGyroStdX" 22
"203" 1 "sitting" "tBodyGyroStdY" 23
"204" 1 "sitting" "tBodyGyroStdZ" 24
"205" 1 "sitting" "tBodyGyroJerkMeanX" 25
"206" 1 "sitting" "tBodyGyroJerkMeanY" 26
"207" 1 "sitting" "tBodyGyroJerkMeanZ" 27
"208" 1 "sitting" "tBodyGyroJerkStdX" 28
"209" 1 "sitting" "tBodyGyroJerkStdY" 29
"210" 1 "sitting" "tBodyGyroJerkStdZ" 30
"211" 1 "sitting" "tBodyAccMagMean" 31
"212" 1 "sitting" "tBodyAccMagStd" 32
"213" 1 "sitting" "tGravityAccMagMean" 33
"214" 1 "sitting" "tGravityAccMagStd" 34
"215" 1 "sitting" "tBodyAccJerkMagMean" 35
"216" 1 "sitting" "tBodyAccJerkMagStd" 36
"217" 1 "sitting" "tBodyGyroMagMean" 37
"218" 1 "sitting" "tBodyGyroMagStd" 38
"219" 1 "sitting" "tBodyGyroJerkMagMean" 39
"220" 1 "sitting" "tBodyGyroJerkMagStd" 40
"221" 1 "sitting" "fBodyAccMeanX" 41
"222" 1 "sitting" "fBodyAccMeanY" 42
"223" 1 "sitting" "fBodyAccMeanZ" 43
"224" 1 "sitting" "fBodyAccStdX" 44
"225" 1 "sitting" "fBodyAccStdY" 45
"226" 1 "sitting" "fBodyAccStdZ" 46
"227" 1 "sitting" "fBodyAccJerkMeanX" 47
"228" 1 "sitting" "fBodyAccJerkMeanY" 48
"229" 1 "sitting" "fBodyAccJerkMeanZ" 49
"230" 1 "sitting" "fBodyAccJerkStdX" 50
"231" 1 "sitting" "fBodyAccJerkStdY" 51
"232" 1 "sitting" "fBodyAccJerkStdZ" 52
"233" 1 "sitting" "fBodyGyroMeanX" 53
"234" 1 "sitting" "fBodyGyroMeanY" 54
"235" 1 "sitting" "fBodyGyroMeanZ" 55
"236" 1 "sitting" "fBodyGyroStdX" 56
"237" 1 "sitting" "fBodyGyroStdY" 57
"238" 1 "sitting" "fBodyGyroStdZ" 58
"239" 1 "sitting" "fBodyAccMagMean" 59
"240" 1 "sitting" "fBodyAccMagStd" 60
"241" 1 "standing" "tBodyAccMeanX" 1
"242" 1 "standing" "tBodyAccMeanY" 2
"243" 1 "standing" "tBodyAccMeanZ" 3
"244" 1 "standing" "tBodyAccStdX" 4
"245" 1 "standing" "tBodyAccStdY" 5
"246" 1 "standing" "tBodyAccStdZ" 6
"247" 1 "standing" "tGravityAccMeanX" 7
"248" 1 "standing" "tGravityAccMeanY" 8
"249" 1 "standing" "tGravityAccMeanZ" 9
"250" 1 "standing" "tGravityAccStdX" 10
"251" 1 "standing" "tGravityAccStdY" 11
"252" 1 "standing" "tGravityAccStdZ" 12
"253" 1 "standing" "tBodyAccJerkMeanX" 13
"254" 1 "standing" "tBodyAccJerkMeanY" 14
"255" 1 "standing" "tBodyAccJerkMeanZ" 15
"256" 1 "standing" "tBodyAccJerkStdX" 16
"257" 1 "standing" "tBodyAccJerkStdY" 17
"258" 1 "standing" "tBodyAccJerkStdZ" 18
"259" 1 "standing" "tBodyGyroMeanX" 19
"260" 1 "standing" "tBodyGyroMeanY" 20
"261" 1 "standing" "tBodyGyroMeanZ" 21
"262" 1 "standing" "tBodyGyroStdX" 22
"263" 1 "standing" "tBodyGyroStdY" 23
"264" 1 "standing" "tBodyGyroStdZ" 24
"265" 1 "standing" "tBodyGyroJerkMeanX" 25
"266" 1 "standing" "tBodyGyroJerkMeanY" 26
"267" 1 "standing" "tBodyGyroJerkMeanZ" 27
"268" 1 "standing" "tBodyGyroJerkStdX" 28
"269" 1 "standing" "tBodyGyroJerkStdY" 29
"270" 1 "standing" "tBodyGyroJerkStdZ" 30
"271" 1 "standing" "tBodyAccMagMean" 31
"272" 1 "standing" "tBodyAccMagStd" 32
"273" 1 "standing" "tGravityAccMagMean" 33
"274" 1 "standing" "tGravityAccMagStd" 34
"275" 1 "standing" "tBodyAccJerkMagMean" 35
"276" 1 "standing" "tBodyAccJerkMagStd" 36
"277" 1 "standing" "tBodyGyroMagMean" 37
"278" 1 "standing" "tBodyGyroMagStd" 38
"279" 1 "standing" "tBodyGyroJerkMagMean" 39
"280" 1 "standing" "tBodyGyroJerkMagStd" 40
"281" 1 "standing" "fBodyAccMeanX" 41
"282" 1 "standing" "fBodyAccMeanY" 42
"283" 1 "standing" "fBodyAccMeanZ" 43
"284" 1 "standing" "fBodyAccStdX" 44
"285" 1 "standing" "fBodyAccStdY" 45
"286" 1 "standing" "fBodyAccStdZ" 46
"287" 1 "standing" "fBodyAccJerkMeanX" 47
"288" 1 "standing" "fBodyAccJerkMeanY" 48
"289" 1 "standing" "fBodyAccJerkMeanZ" 49
"290" 1 "standing" "fBodyAccJerkStdX" 50
"291" 1 "standing" "fBodyAccJerkStdY" 51
"292" 1 "standing" "fBodyAccJerkStdZ" 52
"293" 1 "standing" "fBodyGyroMeanX" 53
"294" 1 "standing" "fBodyGyroMeanY" 54
"295" 1 "standing" "fBodyGyroMeanZ" 55
"296" 1 "standing" "fBodyGyroStdX" 56
"297" 1 "standing" "fBodyGyroStdY" 57
"298" 1 "standing" "fBodyGyroStdZ" 58
"299" 1 "standing" "fBodyAccMagMean" 59
"300" 1 "standing" "fBodyAccMagStd" 60
"301" 1 "laying" "tBodyAccMeanX" 1
"302" 1 "laying" "tBodyAccMeanY" 2
"303" 1 "laying" "tBodyAccMeanZ" 3
"304" 1 "laying" "tBodyAccStdX" 4
"305" 1 "laying" "tBodyAccStdY" 5
"306" 1 "laying" "tBodyAccStdZ" 6
"307" 1 "laying" "tGravityAccMeanX" 7
"308" 1 "laying" "tGravityAccMeanY" 8
"309" 1 "laying" "tGravityAccMeanZ" 9
"310" 1 "laying" "tGravityAccStdX" 10
"311" 1 "laying" "tGravityAccStdY" 11
"312" 1 "laying" "tGravityAccStdZ" 12
"313" 1 "laying" "tBodyAccJerkMeanX" 13
"314" 1 "laying" "tBodyAccJerkMeanY" 14
"315" 1 "laying" "tBodyAccJerkMeanZ" 15
"316" 1 "laying" "tBodyAccJerkStdX" 16
"317" 1 "laying" "tBodyAccJerkStdY" 17
"318" 1 "laying" "tBodyAccJerkStdZ" 18
"319" 1 "laying" "tBodyGyroMeanX" 19
"320" 1 "laying" "tBodyGyroMeanY" 20
"321" 1 "laying" "tBodyGyroMeanZ" 21
"322" 1 "laying" "tBodyGyroStdX" 22
"323" 1 "laying" "tBodyGyroStdY" 23
"324" 1 "laying" "tBodyGyroStdZ" 24
"325" 1 "laying" "tBodyGyroJerkMeanX" 25
"326" 1 "laying" "tBodyGyroJerkMeanY" 26
"327" 1 "laying" "tBodyGyroJerkMeanZ" 27
"328" 1 "laying" "tBodyGyroJerkStdX" 28
"329" 1 "laying" "tBodyGyroJerkStdY" 29
"330" 1 "laying" "tBodyGyroJerkStdZ" 30
"331" 1 "laying" "tBodyAccMagMean" 31
"332" 1 "laying" "tBodyAccMagStd" 32
"333" 1 "laying" "tGravityAccMagMean" 33
"334" 1 "laying" "tGravityAccMagStd" 34
"335" 1 "laying" "tBodyAccJerkMagMean" 35
"336" 1 "laying" "tBodyAccJerkMagStd" 36
"337" 1 "laying" "tBodyGyroMagMean" 37
"338" 1 "laying" "tBodyGyroMagStd" 38
"339" 1 "laying" "tBodyGyroJerkMagMean" 39
"340" 1 "laying" "tBodyGyroJerkMagStd" 40
"341" 1 "laying" "fBodyAccMeanX" 41
"342" 1 "laying" "fBodyAccMeanY" 42
"343" 1 "laying" "fBodyAccMeanZ" 43
"344" 1 "laying" "fBodyAccStdX" 44
"345" 1 "laying" "fBodyAccStdY" 45
"346" 1 "laying" "fBodyAccStdZ" 46
"347" 1 "laying" "fBodyAccJerkMeanX" 47
"348" 1 "laying" "fBodyAccJerkMeanY" 48
"349" 1 "laying" "fBodyAccJerkMeanZ" 49
"350" 1 "laying" "fBodyAccJerkStdX" 50
"351" 1 "laying" "fBodyAccJerkStdY" 51
"352" 1 "laying" "fBodyAccJerkStdZ" 52
"353" 1 "laying" "fBodyGyroMeanX" 53
"354" 1 "laying" "fBodyGyroMeanY" 54
"355" 1 "laying" "fBodyGyroMeanZ" 55
"356" 1 "laying" "fBodyGyroStdX" 56
"357" 1 "laying" "fBodyGyroStdY" 57
"358" 1 "laying" "fBodyGyroStdZ" 58
"359" 1 "laying" "fBodyAccMagMean" 59
"360" 1 "laying" "fBodyAccMagStd" 60
"361" 2 "walking" "tBodyAccMeanX" 1
"362" 2 "walking" "tBodyAccMeanY" 2
"363" 2 "walking" "tBodyAccMeanZ" 3
"364" 2 "walking" "tBodyAccStdX" 4
"365" 2 "walking" "tBodyAccStdY" 5
"366" 2 "walking" "tBodyAccStdZ" 6
"367" 2 "walking" "tGravityAccMeanX" 7
"368" 2 "walking" "tGravityAccMeanY" 8
"369" 2 "walking" "tGravityAccMeanZ" 9
"370" 2 "walking" "tGravityAccStdX" 10
"371" 2 "walking" "tGravityAccStdY" 11
"372" 2 "walking" "tGravityAccStdZ" 12
"373" 2 "walking" "tBodyAccJerkMeanX" 13
"374" 2 "walking" "tBodyAccJerkMeanY" 14
"375" 2 "walking" "tBodyAccJerkMeanZ" 15
"376" 2 "walking" "tBodyAccJerkStdX" 16
"377" 2 "walking" "tBodyAccJerkStdY" 17
"378" 2 "walking" "tBodyAccJerkStdZ" 18
"379" 2 "walking" "tBodyGyroMeanX" 19
"380" 2 "walking" "tBodyGyroMeanY" 20
"381" 2 "walking" "tBodyGyroMeanZ" 21
"382" 2 "walking" "tBodyGyroStdX" 22
"383" 2 "walking" "tBodyGyroStdY" 23
"384" 2 "walking" "tBodyGyroStdZ" 24
"385" 2 "walking" "tBodyGyroJerkMeanX" 25
"386" 2 "walking" "tBodyGyroJerkMeanY" 26
"387" 2 "walking" "tBodyGyroJerkMeanZ" 27
"388" 2 "walking" "tBodyGyroJerkStdX" 28
"389" 2 "walking" "tBodyGyroJerkStdY" 29
"390" 2 "walking" "tBodyGyroJerkStdZ" 30
"391" 2 "walking" "tBodyAccMagMean" 31
"392" 2 "walking" "tBodyAccMagStd" 32
"393" 2 "walking" "tGravityAccMagMean" 33
"394" 2 "walking" "tGravityAccMagStd" 34
"395" 2 "walking" "tBodyAccJerkMagMean" 35
"396" 2 "walking" "tBodyAccJerkMagStd" 36
"397" 2 "walking" "tBodyGyroMagMean" 37
"398" 2 "walking" "tBodyGyroMagStd" 38
"399" 2 "walking" "tBodyGyroJerkMagMean" 39
"400" 2 "walking" "tBodyGyroJerkMagStd" 40
"401" 2 "walking" "fBodyAccMeanX" 41
"402" 2 "walking" "fBodyAccMeanY" 42
"403" 2 "walking" "fBodyAccMeanZ" 43
"404" 2 "walking" "fBodyAccStdX" 44
"405" 2 "walking" "fBodyAccStdY" 45
"406" 2 "walking" "fBodyAccStdZ" 46
"407" 2 "walking" "fBodyAccJerkMeanX" 47
"408" 2 "walking" "fBodyAccJerkMeanY" 48
"409" 2 "walking" "fBodyAccJerkMeanZ" 49
"410" 2 "walking" "fBodyAccJerkStdX" 50
"411" 2 "walking" "fBodyAccJerkStdY" 51
"412" 2 "walking" "fBodyAccJerkStdZ" 52
"413" 2 "walking" "fBodyGyroMeanX" 53
"414" 2 "walking" "fBodyGyroMeanY" 54
"415" 2 "walking" "fBodyGyroMeanZ" 55
"416" 2 "walking" "fBodyGyroStdX" 56
"417" 2 "walking" "fBodyGyroStdY" 57
"418" 2 "walking" "fBodyGyroStdZ" 58
"419" 2 "walking" "fBodyAccMagMean" 59
"420" 2 "walking" "fBodyAccMagStd" 60
"421" 2 "walkingUpstairs" "tBodyAccMeanX" 1
"422" 2 "walkingUpstairs" "tBodyAccMeanY" 2
"423" 2 "walkingUpstairs" "tBodyAccMeanZ" 3
"424" 2 "walkingUpstairs" "tBodyAccStdX" 4
"425" 2 "walkingUpstairs" "tBodyAccStdY" 5
"426" 2 "walkingUpstairs" "tBodyAccStdZ" 6
"427" 2 "walkingUpstairs" "tGravityAccMeanX" 7
"428" 2 "walkingUpstairs" "tGravityAccMeanY" 8
"429" 2 "walkingUpstairs" "tGravityAccMeanZ" 9
"430" 2 "walkingUpstairs" "tGravityAccStdX" 10
"431" 2 "walkingUpstairs" "tGravityAccStdY" 11
"432" 2 "walkingUpstairs" "tGravityAccStdZ" 12
"433" 2 "walkingUpstairs" "tBodyAccJerkMeanX" 13
"434" 2 "walkingUpstairs" "tBodyAccJerkMeanY" 14
"435" 2 "walkingUpstairs" "tBodyAccJerkMeanZ" 15
"436" 2 "walkingUpstairs" "tBodyAccJerkStdX" 16
"437" 2 "walkingUpstairs" "tBodyAccJerkStdY" 17
"438" 2 "walkingUpstairs" "tBodyAccJerkStdZ" 18
"439" 2 "walkingUpstairs" "tBodyGyroMeanX" 19
"440" 2 "walkingUpstairs" "tBodyGyroMeanY" 20
"441" 2 "walkingUpstairs" "tBodyGyroMeanZ" 21
"442" 2 "walkingUpstairs" "tBodyGyroStdX" 22
"443" 2 "walkingUpstairs" "tBodyGyroStdY" 23
"444" 2 "walkingUpstairs" "tBodyGyroStdZ" 24
"445" 2 "walkingUpstairs" "tBodyGyroJerkMeanX" 25
"446" 2 "walkingUpstairs" "tBodyGyroJerkMeanY" 26
"447" 2 "walkingUpstairs" "tBodyGyroJerkMeanZ" 27
"448" 2 "walkingUpstairs" "tBodyGyroJerkStdX" 28
"449" 2 "walkingUpstairs" "tBodyGyroJerkStdY" 29
"450" 2 "walkingUpstairs" "tBodyGyroJerkStdZ" 30
"451" 2 "walkingUpstairs" "tBodyAccMagMean" 31
"452" 2 "walkingUpstairs" "tBodyAccMagStd" 32
"453" 2 "walkingUpstairs" "tGravityAccMagMean" 33
"454" 2 "walkingUpstairs" "tGravityAccMagStd" 34
"455" 2 "walkingUpstairs" "tBodyAccJerkMagMean" 35
"456" 2 "walkingUpstairs" "tBodyAccJerkMagStd" 36
"457" 2 "walkingUpstairs" "tBodyGyroMagMean" 37
"458" 2 "walkingUpstairs" "tBodyGyroMagStd" 38
"459" 2 "walkingUpstairs" "tBodyGyroJerkMagMean" 39
"460" 2 "walkingUpstairs" "tBodyGyroJerkMagStd" 40
"461" 2 "walkingUpstairs" "fBodyAccMeanX" 41
"462" 2 "walkingUpstairs" "fBodyAccMeanY" 42
"463" 2 "walkingUpstairs" "fBodyAccMeanZ" 43
"464" 2 "walkingUpstairs" "fBodyAccStdX" 44
"465" 2 "walkingUpstairs" "fBodyAccStdY" 45
"466" 2 "walkingUpstairs" "fBodyAccStdZ" 46
"467" 2 "walkingUpstairs" "fBodyAccJerkMeanX" 47
"468" 2 "walkingUpstairs" "fBodyAccJerkMeanY" 48
"469" 2 "walkingUpstairs" "fBodyAccJerkMeanZ" 49
"470" 2 "walkingUpstairs" "fBodyAccJerkStdX" 50
"471" 2 "walkingUpstairs" "fBodyAccJerkStdY" 51
"472" 2 "walkingUpstairs" "fBodyAccJerkStdZ" 52
"473" 2 "walkingUpstairs" "fBodyGyroMeanX" 53
"474" 2 "walkingUpstairs" "fBodyGyroMeanY" 54
"475" 2 "walkingUpstairs" "fBodyGyroMeanZ" 55
"476" 2 "walkingUpstairs" "fBodyGyroStdX" 56
"477" 2 "walkingUpstairs" "fBodyGyroStdY" 57
"478" 2 "walkingUpstairs" "fBodyGyroStdZ" 58
"479" 2 "walkingUpstairs" "fBodyAccMagMean" 59
"480" 2 "walkingUpstairs" "fBodyAccMagStd" 60
"481" 2 "walkingDownstairs" "tBodyAccMeanX" 1
"482" 2 "walkingDownstairs" "tBodyAccMeanY" 2
"483" 2 "walkingDownstairs" "tBodyAccMeanZ" 3
"484" 2 "walkingDownstairs" "tBodyAccStdX" 4
"485" 2 "walkingDownstairs" "tBodyAccStdY" 5
"486" 2 "walkingDownstairs" "tBodyAccStdZ" 6
